# OPC UA 1.05.07 ObjectType and VariableType roots (intrinsic bases are reused).
i=61	FolderType
i=68	PropertyType
i=69	DataTypeDescriptionType
i=72	DataTypeDictionaryType
i=75	DataTypeSystemType
i=76	DataTypeEncodingType
i=77	ModellingRuleType
i=2004	ServerType
i=2013	ServerCapabilitiesType
i=2020	ServerDiagnosticsType
i=2026	SessionsDiagnosticsSummaryType
i=2029	SessionDiagnosticsObjectType
i=2033	VendorServerInfoType
i=2034	ServerRedundancyType
i=2036	TransparentRedundancyType
i=2039	NonTransparentRedundancyType
i=2041	BaseEventType
i=2052	AuditEventType
i=2058	AuditSecurityEventType
i=2059	AuditChannelEventType
i=2060	AuditOpenSecureChannelEventType
i=2069	AuditSessionEventType
i=2071	AuditCreateSessionEventType
i=2075	AuditActivateSessionEventType
i=2078	AuditCancelEventType
i=2080	AuditCertificateEventType
i=2082	AuditCertificateDataMismatchEventType
i=2085	AuditCertificateExpiredEventType
i=2086	AuditCertificateInvalidEventType
i=2087	AuditCertificateUntrustedEventType
i=2088	AuditCertificateRevokedEventType
i=2089	AuditCertificateMismatchEventType
i=2090	AuditNodeManagementEventType
i=2091	AuditAddNodesEventType
i=2093	AuditDeleteNodesEventType
i=2095	AuditAddReferencesEventType
i=2097	AuditDeleteReferencesEventType
i=2099	AuditUpdateEventType
i=2100	AuditWriteUpdateEventType
i=2104	AuditHistoryUpdateEventType
i=2127	AuditUpdateMethodEventType
i=2130	SystemEventType
i=2131	DeviceFailureEventType
i=2132	BaseModelChangeEventType
i=2133	GeneralModelChangeEventType
i=2137	ServerVendorCapabilityType
i=2138	ServerStatusType
i=2150	ServerDiagnosticsSummaryType
i=2164	SamplingIntervalDiagnosticsArrayType
i=2165	SamplingIntervalDiagnosticsType
i=2171	SubscriptionDiagnosticsArrayType
i=2172	SubscriptionDiagnosticsType
i=2196	SessionDiagnosticsArrayType
i=2197	SessionDiagnosticsVariableType
i=2243	SessionSecurityDiagnosticsArrayType
i=2244	SessionSecurityDiagnosticsType
i=2299	StateMachineType
i=2307	StateType
i=2309	InitialStateType
i=2310	TransitionType
i=2311	TransitionEventType
i=2315	AuditUpdateStateEventType
i=2318	HistoricalDataConfigurationType
i=2330	HistoryServerCapabilitiesType
i=2340	AggregateFunctionType
i=2365	DataItemType
i=2368	AnalogItemType
i=2372	DiscreteItemType
i=2373	TwoStateDiscreteType
i=2376	MultiStateDiscreteType
i=2378	ProgramTransitionEventType
i=2380	ProgramDiagnosticType
i=2391	ProgramStateMachineType
i=2738	SemanticChangeEventType
i=2748	AuditUrlMismatchEventType
i=2755	StateVariableType
i=2760	FiniteStateVariableType
i=2762	TransitionVariableType
i=2767	FiniteTransitionVariableType
i=2771	FiniteStateMachineType
i=2782	ConditionType
i=2787	RefreshStartEventType
i=2788	RefreshEndEventType
i=2789	RefreshRequiredEventType
i=2790	AuditConditionEventType
i=2803	AuditConditionEnableEventType
i=2829	AuditConditionCommentEventType
i=2830	DialogConditionType
i=2881	AcknowledgeableConditionType
i=2915	AlarmConditionType
i=2929	ShelvedStateMachineType
i=2955	LimitAlarmType
i=2999	AuditHistoryEventUpdateEventType
i=3006	AuditHistoryValueUpdateEventType
i=3012	AuditHistoryDeleteEventType
i=3014	AuditHistoryRawModifyDeleteEventType
i=3019	AuditHistoryAtTimeDeleteEventType
i=3022	AuditHistoryEventDeleteEventType
i=3035	EventQueueOverflowEventType
i=3051	BuildInfoType
i=3806	ProgramTransitionAuditEventType
i=8927	AuditConditionRespondEventType
i=8944	AuditConditionAcknowledgeEventType
i=8961	AuditConditionConfirmEventType
i=8995	TwoStateVariableType
i=9002	ConditionVariableType
i=9318	ExclusiveLimitStateMachineType
i=9341	ExclusiveLimitAlarmType
i=9482	ExclusiveLevelAlarmType
i=9623	ExclusiveRateOfChangeAlarmType
i=9764	ExclusiveDeviationAlarmType
i=9906	NonExclusiveLimitAlarmType
i=10060	NonExclusiveLevelAlarmType
i=10214	NonExclusiveRateOfChangeAlarmType
i=10368	NonExclusiveDeviationAlarmType
i=10523	DiscreteAlarmType
i=10637	OffNormalAlarmType
i=10751	TripAlarmType
i=11093	AuditConditionShelvingEventType
i=11163	BaseConditionClassType
i=11164	ProcessConditionClassType
i=11165	MaintenanceConditionClassType
i=11166	SystemConditionClassType
i=11187	AggregateConfigurationType
i=11238	MultiStateValueDiscreteType
i=11436	ProgressEventType
i=11446	SystemStatusChangeEventType
i=11487	OptionSetType
i=11564	OperationLimitsType
i=11575	FileType
i=11595	AddressSpaceFileType
i=11616	NamespaceMetadataType
i=11645	NamespacesType
i=11753	SystemOffNormalAlarmType
i=11856	AuditProgramTransitionEventType
i=11945	NonTransparentNetworkRedundancyType
i=12021	ArrayItemType
i=12029	YArrayItemType
i=12038	XYArrayItemType
i=12047	ImageItemType
i=12057	CubeItemType
i=12068	NDimensionArrayItemType
i=12522	TrustListType
i=12555	CertificateGroupType
i=12556	CertificateType
i=12557	ApplicationCertificateType
i=12558	HttpsCertificateType
i=12559	RsaMinApplicationCertificateType
i=12560	RsaSha256ApplicationCertificateType
i=12561	TrustListUpdatedAuditEventType
i=12581	ServerConfigurationType
i=12620	CertificateUpdatedAuditEventType
i=13225	CertificateExpirationAlarmType
i=13353	FileDirectoryType
i=13813	CertificateGroupFolderType
i=14209	PubSubConnectionType
i=14232	PubSubGroupType
i=14416	PublishSubscribeType
i=14477	DataSetFolderType
i=14509	PublishedDataSetType
i=14534	PublishedDataItemsType
i=14572	PublishedEventsType
i=14643	PubSubStatusType
i=15013	AuditConditionResetEventType
i=15064	DatagramConnectionTransportType
i=15108	SubscribedDataSetType
i=15109	ChoiceStateType
i=15111	TargetVariablesType
i=15113	GuardVariableType
i=15127	SubscribedDataSetMirrorType
i=15128	ExpressionGuardVariableType
i=15155	BrokerConnectionTransportType
i=15298	DataSetWriterType
i=15305	DataSetWriterTransportType
i=15306	DataSetReaderType
i=15317	ElseGuardVariableType
i=15318	BaseAnalogType
i=15319	DataSetReaderTransportType
i=15383	ProgramDiagnostic2Type
i=15437	ConfigurationFileType
i=15452	SecurityGroupFolderType
i=15471	SecurityGroupType
i=15489	ExtensionFieldsType
i=15535	PubSubStatusEventType
i=15541	ConfigurationUpdatedAuditEventType
i=15548	PubSubTransportLimitsExceedEventType
i=15550	ApplicationConfigurationFileType
i=15563	PubSubCommunicationFailureEventType
i=15607	RoleSetType
i=15620	RoleType
i=15744	TemporaryFileTransferType
i=15803	FileTransferStateMachineType
i=15906	PubSubKeyServiceType
i=16309	SelectionListType
i=16405	AlarmGroupType
i=16662	ApplicationConfigurationFolderType
i=17080	DiscrepancyAlarmType
i=17218	SafetyConditionClassType
i=17219	HighlyManagedAlarmConditionClassType
i=17220	TrainingConditionClassType
i=17221	TestingConditionClassType
i=17225	AuditConditionSuppressionEventType
i=17242	AuditConditionSilenceEventType
i=17259	AuditConditionOutOfServiceEventType
i=17277	AlarmRateVariableType
i=17279	AlarmMetricsType
i=17496	KeyCredentialConfigurationFolderType
i=17497	AnalogUnitType
i=17570	AnalogUnitRangeType
i=17589	DictionaryEntryType
i=17591	DictionaryFolderType
i=17598	IrdiDictionaryEntryType
i=17600	UriDictionaryEntryType
i=17602	BaseInterfaceType
i=17641	RoleMappingRuleChangedAuditEventType
i=17709	RationalNumberType
i=17714	VectorType
i=17716	3DVectorType
i=17721	ConnectionTransportType
i=17725	WriterGroupType
i=17852	AuthorizationServiceConfigurationType
i=17986	AudioVariableType
i=17997	WriterGroupTransportType
i=17998	WriterGroupMessageType
i=17999	ReaderGroupType
i=18001	KeyCredentialConfigurationType
i=18011	KeyCredentialAuditEventType
i=18029	KeyCredentialUpdatedAuditEventType
i=18047	KeyCredentialDeletedAuditEventType
i=18347	InstrumentDiagnosticAlarmType
i=18496	SystemDiagnosticAlarmType
i=18665	StatisticalConditionClassType
i=18772	CartesianCoordinatesType
i=18774	3DCartesianCoordinatesType
i=18779	OrientationType
i=18781	3DOrientationType
i=18786	FrameType
i=18791	3DFrameType
i=18973	LldpInformationType
i=18996	LldpRemoteStatisticsType
i=19002	LldpLocalSystemType
i=19009	LldpPortInformationType
i=19033	LldpRemoteSystemType
i=19077	MultiStateDictionaryEntryDiscreteBaseType
i=19084	MultiStateDictionaryEntryDiscreteType
i=19095	AuditHistoryAnnotationUpdateEventType
i=19297	TrustListOutOfDateAlarmType
i=19323	UserCertificateType
i=19324	TlsCertificateType
i=19325	TlsServerCertificateType
i=19326	TlsClientCertificateType
i=19352	LogObjectType
i=19362	BaseLogEventType
i=19369	LogOverflowEventType
i=19370	LogEntryConditionClassType
i=19677	PubSubDiagnosticsType
i=19725	PubSubDiagnosticsCounterType
i=19732	PubSubDiagnosticsRootType
i=19786	PubSubDiagnosticsConnectionType
i=19820	DataTypeRefinementType
i=19822	SubtypeRestrictionType
i=19824	SerializationEntityType
i=19834	PubSubDiagnosticsWriterGroupType
i=19903	PubSubDiagnosticsReaderGroupType
i=19968	PubSubDiagnosticsDataSetWriterType
i=20027	PubSubDiagnosticsDataSetReaderType
i=21090	ReaderGroupTransportType
i=21091	ReaderGroupMessageType
i=21096	DataSetWriterMessageType
i=21104	DataSetReaderMessageType
i=21105	UadpWriterGroupMessageType
i=21111	UadpDataSetWriterMessageType
i=21116	UadpDataSetReaderMessageType
i=21126	JsonWriterGroupMessageType
i=21128	JsonDataSetWriterMessageType
i=21130	JsonDataSetReaderMessageType
i=21133	DatagramWriterGroupTransportType
i=21136	BrokerWriterGroupTransportType
i=21138	BrokerDataSetWriterTransportType
i=21142	BrokerDataSetReaderTransportType
i=21145	NetworkAddressType
i=21147	NetworkAddressUrlType
i=23455	AliasNameType
i=23456	AliasNameCategoryType
i=23513	IOrderedObjectType
i=23518	OrderedListType
i=23537	EccApplicationCertificateType
i=23538	EccNistP256ApplicationCertificateType
i=23539	EccNistP384ApplicationCertificateType
